Type,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Murders",2,2,0,4,6,0,2,0,3,1,2,2,4,2
"Rapes",37,62,48,41,48,38,37,37,36,45,71,80,78,46
"Robberies",39,35,44,28,20,24,23,15,23,31,33,26,35,22
"Assaults",555,514,172,143,152,129,123,49,115,145,149,197,174,285
"Burglaries",346,247,321,243,259,315,217,199,190,178,165,147,126,155
"Thefts",2553,2267,2126,1922,1774,1988,1877,1388,1710,1789,1641,1639,1300,1550
"Auto thefts",116,99,162,142,171,177,179,159,199,160,152,171,192,235
"Arson",17,19,23,19,19,16,19,0,10,2,9,7,9,11


