Type,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Murders",2,1,3,0,2,2,2,6,5,4,4,3,4,4
"Rapes",35,35,28,40,60,40,33,127,166,108,109,120,69,39
"Robberies",53,60,51,36,38,42,45,29,52,58,70,78,65,43
"Assaults",221,209,226,213,189,201,204,165,176,206,216,239,229,325
"Burglaries",532,507,534,491,468,517,404,384,505,405,302,379,277,382
"Thefts",3305,3226,3628,3389,3237,3238,2846,2130,2422,2078,2655,3017,2273,2979
"Auto thefts",429,360,345,305,310,324,280,519,520,320,274,343,320,545
"Arson",44,44,21,38,38,27,15,9,16,16,10,22,5,13


